dataset,task,label,mean_gt_volume_ml,mean_pred_volume_ml,mean_abs_error_ml,mean_rel_error_percent,std_abs_error_ml,std_rel_error_percent,n_cases
Dataset001_Liver,Whole liver,1,1642.334,1660.6791,51.410667,3.3960753953925544,77.9847,4.924990583568616,310
Dataset101_LiverAug,Whole liver,1,1637.1294,1650.2246,50.324463,3.425264487006972,54.52961,3.9932624128735625,310
Dataset102_LiverSegmentsAug,Couinaud,1,217.198,210.57005,48.031364,26.24592250178516,49.07815,34.68973164184213,591
Dataset102_LiverSegmentsAug,Couinaud,2,254.11836,256.92987,52.402504,23.668281973590176,51.76608,27.26438561404204,591
Dataset102_LiverSegmentsAug,Couinaud,3,291.17645,297.4063,47.65846,16.657820978417334,47.85548,15.779260740129525,591
Dataset102_LiverSegmentsAug,Couinaud,4,264.8326,239.25212,61.70086,23.940510794723114,71.3768,22.757350550268853,591
Dataset102_LiverSegmentsAug,Couinaud,5,194.2134,195.16582,48.446507,30.80985774750459,46.704353,34.423890873994985,591
Dataset102_LiverSegmentsAug,Couinaud,6,278.97824,278.51608,52.438644,19.376275229791748,59.54122,20.012075926346927,591
Dataset102_LiverSegmentsAug,Couinaud,7,159.13356,155.91867,40.257454,24.81947384953956,42.496895,26.503568937144312,591
Dataset102_LiverSegmentsAug,Couinaud,8,41.519688,44.033936,10.006833,37.056894162088106,10.566131,55.75615777168738,591
